"id","cyberball","focus","ostracism_condition","self_other_condition","duration","cyberball_played","consent","nt1_accepted","nt2_valued","nt3_powerfull","nt4_recognized","mood","gender_green","age_green","similar_green","ios_condition","ios_outcome","ios_group_ident","group_ident_like","group_ident_experience","excluded","ignored","received_tosses","sex","occupation","age","comments","seriousness","use_data","use_data_reason","cause_own_1","cause_own_2","cause_own_3","cause_own_4","cause_own_5","cause_own_6","cause_own_7","cause_own_8","cause_own_9","cause_own_10","av_locus1_own_situation_1","av_locus1_own_situation_2","av_locus1_own_situation_3","av_locus1_own_situation_4","av_locus1_own_situation_5","av_locus1_own_situation_6","av_locus1_own_situation_7","av_locus1_own_situation_8","av_locus1_own_situation_9","av_locus1_own_situation_10","av_locus2_own_internal_1","av_locus2_own_internal_2","av_locus2_own_internal_3","av_locus2_own_internal_4","av_locus2_own_internal_5","av_locus2_own_internal_6","av_locus2_own_internal_7","av_locus2_own_internal_8","av_locus2_own_internal_9","av_locus2_own_internal_10","av_stability1_own_stabil_1","av_stability1_own_stabil_2","av_stability1_own_stabil_3","av_stability1_own_stabil_4","av_stability1_own_stabil_5","av_stability1_own_stabil_6","av_stability1_own_stabil_7","av_stability1_own_stabil_8","av_stability1_own_stabil_9","av_stability1_own_stabil_10","av_stability2_own_time_1","av_stability2_own_time_2","av_stability2_own_time_3","av_stability2_own_time_4","av_stability2_own_time_5","av_stability2_own_time_6","av_stability2_own_time_7","av_stability2_own_time_8","av_stability2_own_time_9","av_stability2_own_time_10","cause_other_1","cause_other_2","cause_other_3","cause_other_4","cause_other_5","cause_other_6","cause_other_7","cause_other_8","cause_other_9","cause_other_10","av_locus1_other_situation_1","av_locus1_other_situation_2","av_locus1_other_situation_3","av_locus1_other_situation_4","av_locus1_other_situation_5","av_locus1_other_situation_6","av_locus1_other_situation_7","av_locus1_other_situation_8","av_locus1_other_situation_9","av_locus1_other_situation_10","av_locus2_other_internal_1","av_locus2_other_internal_2","av_locus2_other_internal_3","av_locus2_other_internal_4","av_locus2_other_internal_5","av_locus2_other_internal_6","av_locus2_other_internal_7","av_locus2_other_internal_8","av_locus2_other_internal_9","av_locus2_other_internal_10","av_stability1_other_stabil_1","av_stability1_other_stabil_2","av_stability1_other_stabil_3","av_stability1_other_stabil_4","av_stability1_other_stabil_5","av_stability1_other_stabil_6","av_stability1_other_stabil_7","av_stability1_other_stabil_8","av_stability1_other_stabil_9","av_stability1_other_stabil_10","av_stability2_other_time_1","av_stability2_other_time_2","av_stability2_other_time_3","av_stability2_other_time_4","av_stability2_other_time_5","av_stability2_other_time_6","av_stability2_other_time_7","av_stability2_other_time_8","av_stability2_other_time_9","av_stability2_other_time_10"
23,1,2,"included","green",699,2,1,6,4,4,7,7,1,2,3,"group_green_other",4,4,7,7,3,3,28,2,"studying",18,"-99",6,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"conflicts ","lack of motivation","poor wording","conflicts in personality","dislike to other member","personality - determined","kind","good work","hard work","strong relationship ",5,2,4,4,2,4,2,1,2,1,5,2,4,4,4,2,2,1,3,1,3,4,3,4,4,2,2,1,2,1,4,4,4,5,3,2,2,1,2,3
24,1,2,"included","green",824,2,1,3,4,2,5,6,1,2,8,"group_green_other",3,5,9,9,1,1,30,2,"copywriter",25,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"A misunderstanding","The company has expected too much and heaped work on because of previous high performance levels, without any regard to how the projects translate","She's telling the truth - but it's not what people want to hear","Their personalities don't match","They don't want to get in the middle of personal conflict","They're competent, efficient, and eloquent in their presentation of why they'd be the best at the job","Glossy, glossy hair","They're efficient and great at self-advocating","They're hardworking and innovative","Their partner has had a wake-up call that has made them reflect on how much they care for the group member",4,5,5,2,3,1,1,1,1,5,4,5,5,3,4,3,3,1,1,5,5,5,5,4,5,4,4,1,1,5,5,5,5,3,4,3,4,1,1,3
25,2,1,"excluded","yellow",750,2,1,3,4,2,4,5,1,2,7,"group_yellow_own",3,3,7,8,8,6,10,1,"Student",21,"-99",6,2,"-99","That person has their own problems","There is too much work","They made a mistake in their talk and everyone knew","they were not compatible people","They cannot help the person","They had the skills and a bit of luck","They are an attractive person","They worked hard","They worked hard on it, and it was succesful","Both people realise it is good to treat each other better",4,4,2,2,4,2,2,1,2,3,4,4,2,4,2,2,4,1,2,3,4,4,2,2,4,4,2,2,4,4,5,5,4,4,4,4,2,3,3,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
26,2,2,"excluded","green",668,2,1,2,2,1,1,5,3,1,7,"group_green_other",6,2,6,6,8,8,5,1,"FInancial Controller",38,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Because thre selfish","Preoccupation","Due to being selfish the audience reacts infavourably","Because they are very similar","Selfishness","Self centred ness","Because they are very similar","Good work","Self centreness","Unsure",1,3,3,2,2,3,1,5,5,3,1,3,3,2,1,3,2,4,5,3,1,3,1,2,2,3,3,4,3,3,1,3,1,2,1,3,3,4,3,3
27,1,1,"included","yellow",966,2,1,7,8,8,7,8,2,2,8,"group_yellow_own",4,3,6,7,3,3,50,2,"full time student, part time support worker",20,"no, very interesting study!",7,2,"-99","Discrimination, different team/colour to the friend","work overload","Disagreement of an opinion, opposing fans","Disagreement over something","A choice of not wanting to perhaps too much effort for the member","well-prepared","Genuinely wants to make the person feel good","Shown good work and talent consistently over time","Hard-working","Good stable long-term relationship, the trust is present between them.",5,2,4,4,2,1,1,1,1,4,5,1,5,2,4,1,2,1,1,2,4,4,4,4,4,1,4,1,1,4,2,4,5,2,5,1,2,1,1,5,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
28,2,1,"excluded","yellow",1859,2,1,2,3,1,1,3,3,3,6,"group_yellow_own",3,7,5,5,8,7,10,2,"Gemologist and Valuer",56,"Interesting exercise",7,2,"-99","personal historic grievance","Sickness prevents completion","Controversial statements not agreed by audience","Personality mismatch","Too busy","Best candidate on application","Feeling happy and generous","Promotion","Hard, diligent work","Sick",1,1,4,3,2,3,1,1,1,5,5,5,4,4,4,4,5,5,5,5,4,5,4,5,4,5,5,5,3,5,4,5,3,3,4,3,3,2,3,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
29,1,2,"included","green",914,2,1,6,5,4,3,5,1,1,7,"group_green_other",7,7,5,6,3,3,25,2,"unemployed",32,"n/a",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Either the member has upset them or the friend is having a bad time.","They don't have enough time.","The audience didn't agree with what was said.","They disagree over something.","They don't know what to do to help.","Their enthusiasm got them the job.","They look good.","He had a pay review.","The project was a success.","Their partner has done something wrong and is feeling guilty.",3,3,4,3,2,2,2,4,2,4,3,3,4,4,2,1,2,5,2,4,4,5,4,4,4,2,5,3,4,5,4,5,4,4,2,2,5,3,4,5
30,2,1,"excluded","yellow",1577,2,1,4,3,3,5,5,1,3,7,"group_yellow_own",3,5,7,4,3,5,15,1,"delivery driver",37,"-99",6,2,"-99","yellow group member may have done something to incur their friends wrath ","poor time management","negative reaction","conflict of interests ","yellow group member is apathetic ","yellow group member applied themselves and worked hard to achieve their goal","yellow group member takes pride in their appearance ","good work ethic ","intelligent and thoughtful work ","yellow group member has a stronger relationship with their partner",1,2,2,2,1,1,1,1,1,1,2,1,3,2,1,1,1,3,1,1,5,3,2,4,5,2,3,2,3,5,3,3,3,3,4,2,3,1,3,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
31,1,2,"included","green",496,2,1,8,8,8,7,9,2,2,6,"group_green_other",1,3,8,8,4,4,60,2,"Student",19,"Thank you, I enjoyed it :)",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"They aren't warming ","they are incompetent ","They aren't very good at delivering","They are not friendly,  or have manners ","They are slelfish ","They are hardworking","they have made an effort","they are a male","they are a hard worker ","they are valued more by people",2,2,2,4,2,2,4,3,2,3,2,4,3,3,3,4,2,4,4,2,3,3,2,2,4,3,4,2,3,4,4,2,3,4,2,5,3,5,4,2
32,1,2,"included","green",912,2,1,5,4,4,4,5,1,3,6,"group_green_other",2,5,6,7,6,5,25,2,"Office worker",39,"-99",6,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"They heard they'd acted badly","They were held back by team members","They didn't present their idea well","They were rude","They are too busy","They had support from other team members","They genuinely like their appearance","The whole team worked well","They worked well as part of a team","They are a nice person",2,1,2,3,2,4,3,2,3,3,3,2,2,2,2,3,3,3,3,4,3,3,3,2,3,4,3,2,3,4,3,3,3,2,3,3,3,2,2,4
33,1,2,"included","green",890,2,1,8,8,6,5,9,1,2,4,"group_green_other",4,4,5,7,1,1,30,1,"Civil Servant",23,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"The friend has problems in their life","They aren't willing to put enough work in","The talk was delivered poorly","The people have conflicting personalities","The member of group green is not very nice","The interview went well","They look unusually good today","They were performing well at work","They did the project well","Their partner feels bad about something",4,3,2,3,2,2,2,2,2,5,4,2,3,3,2,2,3,2,3,4,4,4,4,2,3,3,4,2,3,4,4,3,4,2,4,3,4,1,4,4
34,1,1,"included","yellow",1112,2,1,8,7,6,5,6,2,1,3,"group_yellow_own",1,6,5,5,2,4,40,1,"teacher",61,"-99",7,2,"-99","their previous actions","the amount of work given to them","what they talked about ","their interaction with the other person","their history of their previous actions","their facts they added to their application","nice clothes they are wearing","their previous work history","their actions on completing the project","the change in their interactions with their partner",1,4,1,1,3,3,1,1,1,1,3,2,3,3,4,4,3,3,3,3,4,4,4,5,4,3,3,3,3,5,4,4,4,5,4,3,4,4,4,4,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
35,2,1,"excluded","yellow",443,2,1,3,3,1,2,5,3,4,5,"group_yellow_own",4,7,5,5,7,7,5,1,"Architect",31,"No",6,2,"-99","No idea","No idea"," No idea ","No idea","No idea","No idea","No idea","No idea","No idea","No idea",3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,3,4,3,3,3,3,4,4,4,2,3,4,2,3,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
36,1,1,"included","yellow",964,2,1,8,8,6,8,8,1,2,8,"group_yellow_own",7,4,8,8,3,3,30,2,"student",18,"-99",7,2,"-99","the friend was having a bad day","there is too much work and not enough time to complete it","the talk was on a controversial issue that the audience disagreed with","they bumped into each other and dropped a bunch of stuff they were holding (ie, it was an accident that caused it to go badly)","they were having a bad day and did not want to help","they are well suited to the job and performed very well in  the interview","the friend wanted to make them happy","they worked hard and they deserve a raise","they worked very hard and deserve the praise","their partner loves them",5,4,2,5,1,1,3,1,1,3,5,5,4,5,1,1,3,1,1,3,5,5,2,5,5,2,4,0,1,2,5,5,3,5,5,2,4,1,1,2,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
37,2,2,"excluded","green",1620,2,1,1,1,1,1,1,3,2,9,"group_green_other",7,7,7,6,7,6,0,1,"Civil servant",34,"-99",6,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Highly hated","The workload is more than they can handle","misundertood","Misunderstanding","They clearly are not liked","The ability to be persistent","The value placed on the friend","The experience on the area of expertise","Very welcomed development","Good understanding between them",0,4,4,3,2,2,2,4,2,0,0,4,4,3,2,3,3,3,3,3,0,4,4,3,2,3,4,3,4,2,0,4,4,3,2,2,4,3,4,2
38,2,2,"excluded","green",1347,2,1,3,3,3,3,3,1,2,5,"group_green_other",4,3,8,7,8,8,5,1,"Writer",31,"My opinion of green slightly changed during the questioning and this was reflected in my answers, not sure if I was meant to imagine green just as they were during the experiment or through the questioning as well but thought I'd mention that.",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"They were being rude","They ran out of time","They misread the room and made an error of judgement","Miscommunication or confusion","They did not want to help","They left the best impression on the employer","They had a nice appearance","They showed better performance","They showcased their project well","They did something for their partner that improved the relationship",3,2,3,4,3,3,2,3,3,2,3,2,3,4,3,3,4,2,4,3,3,3,4,4,4,3,4,3,4,2,4,2,5,5,4,3,4,3,4,2
39,2,1,"excluded","yellow",655,2,1,1,1,1,1,4,1,1,5,"group_yellow_own",1,3,3,3,9,9,2,1,"Student",23,"-99",7,2,"-99","Friends an ass","They don't recieve help they need or go forward to get help","Potential doubting due to isolation","They feel used to being left out.","Theyve been isolated in the game and feel frustrated so don't wish to help","They put in extra effort to be accepted and it goes well","They look good.","Hard work","Works hard","They treat their partner well",1,2,3,1,1,3,1,3,1,1,1,1,3,1,1,3,4,3,1,1,5,2,3,3,3,1,4,1,2,1,5,2,3,4,5,1,4,2,2,2,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
40,1,1,"included","yellow",1064,2,1,8,7,4,4,5,1,2,6,"group_yellow_own",4,7,3,4,3,4,30,1,"Manager",33,"-99",6,2,"-99","The friend is having trouble with a different situation. ","Distracted by the weather","Lack of preparation. ","Finds social situations difficult. ","They struggle handling problems of this nature because it has personal resonance. ","Seeking a different career path.","They have spent time and effort making themselves look nice.","They asked for a raise. ","The member puts plenty of effort into preparation. ","They feel upset.",5,4,1,1,1,5,5,1,2,5,5,4,5,1,1,4,1,1,2,4,5,2,1,5,1,5,4,1,4,5,5,2,1,5,1,5,5,3,4,5,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
41,2,2,"excluded","green",841,2,1,2,3,2,1,4,1,5,4,"group_green_other",3,1,5,5,9,8,5,2,"Marketing Manager",48,"V interesting study",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"They have upset them in some way","They didn't have enough time","The talk is not very interesting","they upset the other person","They don't understand the problem","They have the best skills","the member has taken more care with their appearance","they have worked hard","They are good at their work","Their partner has previously behaved badly",1,2,1,1,1,2,1,1,1,5,1,2,1,1,1,1,1,1,1,3,3,4,3,3,2,2,2,2,2,4,4,3,3,4,4,2,5,1,2,5
42,2,2,"excluded","green",586,2,1,4,4,3,3,5,1,3,3,"group_green_other",6,7,4,4,2,2,5,2,"teacher",22,"-99",6,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"they have done something to offend them ","they are distracted by other things ","the audience did not agree with the talk","the other person thinks this member of green is arrogant ","because they are selfish","because they were very confident in the interview","they have thought about their appearance","they have worked well","because they worked hard ","because they have a good partner ",4,4,5,2,2,1,2,2,4,4,2,2,4,2,3,2,3,2,3,4,4,3,3,3,3,1,2,3,3,4,4,2,3,2,3,1,2,3,3,4
43,1,2,"included","green",558,2,1,8,8,8,8,8,3,4,5,"group_green_other",7,5,5,5,5,5,25,1,"construction worker",44,"none",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"women","panic","bad jokes","attitude","selfish","try-hard","emapthetic","hard worker","hard worker","more caring",3,2,2,3,4,4,3,4,4,3,3,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,3,4,3,2,3,3,3,4,2,3
44,1,1,"included","yellow",1175,2,1,9,9,6,9,9,1,2,7,"group_yellow_own",3,4,7,7,1,1,33,2,"medical student",22,"no",7,2,"-99","They have done something to upset the friend that they were unaware of. I doubt the Yellow person would meet them guilt-free if they knew they (the friend) were going to be upset.","Yellow has extenuating circumstances that mean they are too busy/not in the mental headspace for it, for example their dog just died - something distressing like that","The talk is on a topic that is upsetting to the audience or that they fundamentally disagree with, for example a political opinion ","they have a fight about something that happened in the past","Yellow doesn't like this person as much as they think they do, Yellow is less empathetic towards this friend","Yellow has worked hard for this job and done lots of preparation","Yellow's hair looks good or their outfit does that day, or maybe they've been working out.","they have been performing well at work","Yellow has worked hard on this project and created something impressive. Their efforts are appreciated","It is a special occasion and the partner wants to do something nice for the Yellow person, for example, it is their birthday.",4,5,4,2,1,1,1,1,1,1,4,5,2,2,1,1,2,2,1,1,4,5,4,2,4,4,5,5,2,1,4,5,4,2,4,4,5,5,2,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
45,2,2,"excluded","green",660,2,1,1,1,1,1,1,1,2,4,"group_green_other",4,7,1,1,9,9,10,2,"Store assistant",25,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"UNsure.","They don","The talk was negative.","They're incompatiable","They're selfish","They're determined and we're qualified for the job","They look nice.","They deserved it.","They're highly motivated","They're a nice person",3,0,5,5,1,5,1,3,1,1,3,0,5,5,1,1,1,3,1,1,3,0,5,5,3,3,1,1,3,1,3,0,5,3,3,3,2,1,3,1
46,2,2,"excluded","green",896,2,1,1,1,1,1,5,1,1,5,"group_green_other",4,6,5,5,9,9,10,1,"Student",20,"questions were often very vague",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"They might be a mean person or the friend might be","something may be wrong ","It was a bad talk","something wasn't right between them ","They're busy or selfish ","they were right for the job","they look good","they deserved it ","They produced a good project","Because they love them well",2,2,5,3,2,1,1,1,1,3,2,3,3,3,4,3,3,3,2,1,5,5,5,3,3,1,5,1,1,5,4,5,5,3,3,1,5,2,1,5
47,1,1,"included","yellow",1259,2,1,9,6,5,9,7,2,4,7,"group_yellow_own",3,4,6,7,2,1,33,2,"insurance advisor",30,"-99",7,2,"-99","because they are not yellow","because they don't have time","because they are not group members","because they are an outsider","Because yellow doesn't want to help.","because they are part of the group","because they are group members","because they are a group member ","because they did a great job","because they are part of the group",4,5,1,5,5,1,1,2,1,1,5,4,1,5,5,1,1,1,1,1,4,5,2,5,5,1,1,2,2,1,3,4,1,5,5,1,1,2,2,1,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
48,2,1,"excluded","yellow",1810,2,1,1,2,1,1,2,2,2,6,"group_yellow_own",4,6,5,5,9,9,5,2,"librarian",56,"No comments. Thank you",7,2,"-99","They feel that they have been left out or not part of the group","stress ","The talk was boring","Being left out of the other group or ignored leads to feelings getting worse","No compassion or empathy","They performed well at interview","Self esteem raised by others feels good","They deserve recognition","They feel that they are valued for their participation","external factors",5,1,1,3,1,3,3,4,4,1,3,1,3,4,3,3,1,1,2,5,4,5,4,4,4,2,4,3,5,5,3,3,3,3,3,3,3,3,4,2,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
49,2,1,"excluded","yellow",1181,2,1,1,2,2,2,2,1,3,5,"group_yellow_own",7,7,5,3,9,9,3,1,"Part time job",37,"Quite entertaining and educative",6,2,"-99","A member of group yellow was subsequently isolated","A member of group yellow should be reprimanded","A member of group yellow was misunderstood","A member of group yellow was treated badly","A member of group yellow acted badly","His passionate pursuit makes him get the job","A member of group yellow appreciated","A member of group yellow hard work rewarded","A member of group yellow is diligent","A member has been rejected",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
50,2,2,"excluded","green",588,2,1,3,3,3,3,3,1,2,6,"group_green_other",2,6,5,5,9,9,10,1,"Education Executive",22,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"The friend has turned on them","They are struggling with other aspects of their life","His talk was boring","The new person does not like him","They are a selfish person","They performed well at interview and are well liked","He is good looking","He performed well at his job and made the right connections ","It was a solid project and he is well liked ","Their partner is happier with themself",5,4,2,5,1,4,2,2,4,5,5,2,4,4,4,2,2,2,2,5,5,4,4,5,2,2,2,2,2,4,5,4,4,5,4,4,2,4,4,4
51,2,1,"excluded","yellow",621,2,1,1,1,1,1,1,1,1,8,"group_yellow_own",3,4,7,6,8,7,10,2,"Assistant",22,"-99",7,2,"N/A I answered every question with my full and honest opinions. ","They are treating you differently so therefore don't like you.","Because they feel upset that affects their work from being actively left out.","Views may have been strong and caused a negative reaction, be more all-rounded with the information provided.","because they didn't like that person and they didn't get on.","Because they left yellow out they are now hostile towards other friends and listens but chooses not to help, their right,","Because of gender, age and ect.","Trying to make up as they feel bad for what they did, doesn't feel genuine.","Worked hard, deserved it, simple.","Because they worked hard and deserved it.","because they know other people aren't doing that for them.",2,1,2,2,5,5,3,1,5,5,4,4,3,4,2,5,5,4,1,3,3,3,4,4,4,3,3,2,1,2,2,3,1,5,3,2,2,1,3,4,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
