"id","cyberball","focus","ostracism_condition","self_other_condition","duration","cyberball_played","consent","nt1_accepted","nt2_valued","nt3_powerfull","nt4_recognized","mood","gender_green","age_green","similar_green","ios_condition","ios_outcome","ios_group_ident","group_ident_like","group_ident_experience","excluded","ignored","received_tosses","sex","occupation","age","comments","seriousness","use_data","use_data_reason","cause_own_1","cause_own_2","cause_own_3","cause_own_4","cause_own_5","cause_own_6","cause_own_7","cause_own_8","cause_own_9","cause_own_10","av_locus1_own_situation_1","av_locus1_own_situation_2","av_locus1_own_situation_3","av_locus1_own_situation_4","av_locus1_own_situation_5","av_locus1_own_situation_6","av_locus1_own_situation_7","av_locus1_own_situation_8","av_locus1_own_situation_9","av_locus1_own_situation_10","av_locus2_own_internal_1","av_locus2_own_internal_2","av_locus2_own_internal_3","av_locus2_own_internal_4","av_locus2_own_internal_5","av_locus2_own_internal_6","av_locus2_own_internal_7","av_locus2_own_internal_8","av_locus2_own_internal_9","av_locus2_own_internal_10","av_stability1_own_stabil_1","av_stability1_own_stabil_2","av_stability1_own_stabil_3","av_stability1_own_stabil_4","av_stability1_own_stabil_5","av_stability1_own_stabil_6","av_stability1_own_stabil_7","av_stability1_own_stabil_8","av_stability1_own_stabil_9","av_stability1_own_stabil_10","av_stability2_own_time_1","av_stability2_own_time_2","av_stability2_own_time_3","av_stability2_own_time_4","av_stability2_own_time_5","av_stability2_own_time_6","av_stability2_own_time_7","av_stability2_own_time_8","av_stability2_own_time_9","av_stability2_own_time_10","cause_other_1","cause_other_2","cause_other_3","cause_other_4","cause_other_5","cause_other_6","cause_other_7","cause_other_8","cause_other_9","cause_other_10","av_locus1_other_situation_1","av_locus1_other_situation_2","av_locus1_other_situation_3","av_locus1_other_situation_4","av_locus1_other_situation_5","av_locus1_other_situation_6","av_locus1_other_situation_7","av_locus1_other_situation_8","av_locus1_other_situation_9","av_locus1_other_situation_10","av_locus2_other_internal_1","av_locus2_other_internal_2","av_locus2_other_internal_3","av_locus2_other_internal_4","av_locus2_other_internal_5","av_locus2_other_internal_6","av_locus2_other_internal_7","av_locus2_other_internal_8","av_locus2_other_internal_9","av_locus2_other_internal_10","av_stability1_other_stabil_1","av_stability1_other_stabil_2","av_stability1_other_stabil_3","av_stability1_other_stabil_4","av_stability1_other_stabil_5","av_stability1_other_stabil_6","av_stability1_other_stabil_7","av_stability1_other_stabil_8","av_stability1_other_stabil_9","av_stability1_other_stabil_10","av_stability2_other_time_1","av_stability2_other_time_2","av_stability2_other_time_3","av_stability2_other_time_4","av_stability2_other_time_5","av_stability2_other_time_6","av_stability2_other_time_7","av_stability2_other_time_8","av_stability2_other_time_9","av_stability2_other_time_10"
11,1,2,"included","green",480,2,1,6,6,6,6,6,1,2,5,"group_green_other",2,4,5,5,3,3,33,1,"Policeman",27,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Money","Laziness","Confidence","Attitude","Apathy","Luck","Friendship","Effort","Effort","Money",3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
12,2,2,"excluded","green",671,2,1,2,2,2,2,2,1,3,7,"group_green_other",6,7,5,5,8,8,5,2,"Administrator ",38,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"The friend is in a bad mood","They wasted time ","The talk is controversial ","They don’t listen ","They are selfish","They are good at interviews","They are attractive","They worked hard","They worked hard ","They are in a strong relationship ",5,2,3,2,1,2,2,3,2,2,5,2,3,2,1,2,2,3,2,2,5,4,5,4,4,4,4,4,2,2,5,4,5,4,4,2,4,4,2,2
13,1,2,"included","green",793,2,1,7,6,5,4,7,2,2,2,"group_green_other",2,3,5,5,1,1,33,1,"Caregiver",36,"no",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Social media drama","Anxiety, difficulty focusing","Member of group Green failed to read the room, got too self-absorbed in writing their talk","Anxiety caused by social distancing","General anxiety causing the member of group Green to keep others at an arm's length when asked for help","The member of group Green worked really hard at figuring out what the hiring manager wanted, and giving all the right answers","The friend is trying to be kind to others in general","Work that the member of group Green did that had gone unrecognized, due to a now fixed technical problem is suddenly recognized","They worked hard on the project","Because they're going through a rough time",1,1,1,4,1,3,5,3,1,4,5,1,1,4,1,3,5,3,1,3,5,2,3,3,2,2,3,2,1,4,5,2,3,3,3,2,3,1,1,4
14,1,1,"included","yellow",898,2,1,8,8,7,2,7,1,2,5,"group_yellow_own",4,2,6,6,8,2,40,2,"Business Support Assistant",24,"Took a while to understand what it is we were being asked. Maybe needs explaining in more detail.",7,2,"-99","The other person has just had a break up.","They have other things going on.","They audience wasn't appropriate,","They didn't get on with each other.","They don't have time to listen or help.","The interviewer was having a good day.","They look nice that day.","They have performed better.","They have worked hard.","They are more friendly and equal.",5,3,4,3,3,3,3,2,2,1,4,3,3,3,3,4,2,2,2,2,5,4,4,3,5,4,3,4,2,4,4,5,3,2,4,4,4,3,2,2,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
15,1,1,"included","yellow",896,2,1,5,5,6,4,5,1,2,5,"group_yellow_own",4,5,4,4,4,3,28,2,"Student ",20,"-99",7,2,"-99","The member of group Yellow may have done something wrong to cause the friend to act this way.","They haven't got enough time to complete the work (perhaps their fault) ","The member of group Yellow may have spoken about something controversial that people did not agree with. ","They got hurt ","Maybe they feel like getting involved would not be the best option (maybe due to a conflict of interest)","They were most qualified for the job and also seemed very passionate about the position. ","Well the friend must have thought that the member of group Yellow was deserving of said compliment. ","They worked hard.","The project was well organised and thought out. ","Things are going well between the pair; they must be happy. ",3,1,1,3,3,1,5,2,1,3,3,1,3,3,3,1,5,3,1,1,3,4,2,2,4,3,5,2,2,5,3,3,1,5,2,2,5,2,3,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
16,2,2,"excluded","green",877,2,1,2,2,2,2,2,3,1,6,"group_green_other",4,7,3,3,8,8,15,2,"Student",23,"nil",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"The friend may feel offended at what the group Green member does ","The member may be facing personal issues at home or in school.","The audience does not like the tone of the member's speech.","Both parties have different outlook on the topics they were talking about","The member may be busy with his work and was not able to help out as a result.","The member has the necessary qualifications for the job.","The member of the group became prettier/more handsome ","The member did a good job in his work.","The member has a better project idea than the rest of the group","The main cause could be that this member of group Green plays the cyberball better than the rest.",2,5,5,5,5,5,5,2,5,5,5,2,5,4,5,5,5,2,2,2,5,3,4,5,4,5,5,5,5,5,5,3,4,5,4,5,5,5,5,2
17,2,2,"excluded","green",646,2,1,3,4,3,5,3,1,6,6,"group_green_other",7,7,5,5,8,8,5,2,"student",21,"-99",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"The friend is unhappy","They don't have time","They weren't a good speaker","They aren't compatible people","They don't have time","They deserve the job","They look nice","They have done good work","They did good work","Their partner is happy with the relationship",3,3,2,3,2,2,2,2,2,2,4,3,2,4,2,2,4,4,3,3,5,5,3,3,5,4,5,1,4,4,5,5,4,3,5,2,5,1,4,3
18,1,2,"included","green",1020,2,1,8,6,6,7,7,1,4,3,"group_green_other",5,5,6,7,1,1,35,1,"Software Engineer",26,"-99",6,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"The friend holds a grudge against the member of group green","The member is stressed out due to outside factors/personal issues","The main cause for this outcome is because the member of group green did not choose their words correctly and lacked awareness and handling of the situation","They got into an argument over differences which resulted in a divide between both of them","The member of group green has their own share of issues that they are struggling to deal with.","The main cause for this outcome is because the member of group green was determined and motivated to get the job.","The member of group green had changed up their appearance recently","The main cause of this outcome is because the member demonstrated continued effort and improvement over periods of time.","The member put continual effort and hard work into the project which eventually paaid off.","The member and their partner are clearly more affectionate and passionate about eachother",1,2,4,4,4,2,2,1,2,5,2,2,5,4,5,2,2,4,1,5,4,5,4,5,5,5,4,1,1,1,4,4,4,3,5,4,3,2,2,2
19,1,2,"included","green",792,2,1,7,4,9,9,2,1,2,3,"group_green_other",1,2,9,9,2,2,30,1,"Finance/Banking",25,"none",7,2,"-99","-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"They are friends and they want to pass the disc/ball to each other I suppose.","They could be lazy or they are tired and have not followed the rules.","The audience wants to carry on seeing the game instead of listening.","The member in the team is probably a negative person.","They member is selfish and want's everything for himself.","They have deserved the job and worked hard for it.","The member of the green team is handsome possibly.","The member deserves the raise as he possibly has worked really hard.","The member in the green team is hardworking.","Maybe because the member in the green team could be female.",4,1,4,5,4,1,2,1,1,3,2,5,5,5,2,1,2,2,1,5,1,5,1,5,5,1,4,1,1,1,4,5,1,5,5,1,5,1,1,4
20,2,1,"excluded","yellow",924,2,1,2,2,2,2,2,1,2,4,"group_yellow_own",5,6,6,6,9,9,8,2,"Team manager",28,"-99",7,2,"-99","The member of group yellow has done something to hurt the friend. ","The member of group yellow was not given enough time to complete the work they were expected to do. ","The yellow team member does not fit in with the type of people in the audience. ","The two personalities do not fit well together.","The member of group yellow is not a very caring person. ","The member of group yellow got the job because of their passion for it. ","The member of group yellow has a kind friend.","The member of group yellow did something positive to achieve the raise. ","The member of group yellow put a lot of work into their project.","The member of group yellow is more loving toward their partner, so get's the same in return. ",1,4,4,3,1,1,5,2,1,2,1,4,4,3,1,1,5,2,1,2,5,4,2,3,3,4,3,4,4,3,5,5,2,3,3,3,2,4,4,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
21,2,1,"excluded","yellow",768,2,1,4,5,6,5,7,2,2,4,"group_yellow_own",5,4,6,5,9,7,3,2,"Freelance Graphic Designer",29,"-99",5,2,"-99","I think the cause is that the Yellow member must have done something to make their friend act hostile.","The Yellow member had poor time management when it came to completing this task.","The Yellow member has a non-favorable message in their talk.","The personality of the two does not mesh well.","The Yellow member is upset with the friend do to the situation involving the problem.","Yellow's determination was proven to the person hiring them.","I think the main cause of this interaction is the friendly, approachable vibes given off by Yellow.","The Yellow member has worked hard and done well at their job.","The Yellow member has worked hard on this project.","I think the Yellow member has treated their partner well and earned this love.",2,2,1,5,4,1,2,1,1,3,2,3,3,4,2,2,2,1,2,2,4,4,2,4,5,2,3,4,3,4,5,5,3,3,5,3,3,2,3,4,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
22,2,1,"excluded","yellow",1248,2,1,1,1,2,1,1,1,1,9,"group_yellow_own",7,6,5,5,9,9,10,2,"Student",20,"The main questions were rather confusing and hard to answer without a lot more context, especially as there were no other team members in the game of cyberball. These two aspects of the study seemed ireelevant to each other and therefore quite confusing.",7,2,"-99","They probably got into an argument previously.","They have procrastinated.","What they said was probably not very good in the context it was being given in.","The Yellow group member probably didn't get on with the person they met.","That Yellow group member is probably not a nice person.","They were probably very qualified for the job.","The Yellow group member looked nice.","They worked hard within their company.","The member most likely completed the project to a high standard so is being praised accordingly.","Their partner is very fond of them.",2,1,2,2,1,1,1,1,5,2,2,1,2,2,1,1,4,1,3,2,5,5,5,4,4,2,4,5,4,4,5,5,5,3,5,2,4,2,4,3,"-66","-66","-66","-66","-66","-66","-66","-66","-66","-66",-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77
