"lfdn";"external_lfdn";"tester";"dispcode";"lastpage";"quality";"duration";"c_0001";"c_0002";"cyberball_played";"consent";"worker_id";"nt1_accepted";"nt2_valued";"nt3_powerfull";"nt4_recognized";"mood";"gender_green";"age_green";"similar_green";"ios_yellow";"ios_green";"ios_group_ident";"group_ident_like";"group_ident_experience";"excluded";"ignored";"received_tosses";"sex";"occupation";"age";"native";"no_native";"comments";"seriousness";"use_data";"use_data_reason";"cause_own_1";"cause_own_2";"cause_own_3";"cause_own_4";"cause_own_5";"cause_own_6";"cause_own_7";"cause_own_8";"cause_own_9";"cause_own_10";"av_locus1_own_situation_1";"av_locus1_own_situation_2";"av_locus1_own_situation_3";"av_locus1_own_situation_4";"av_locus1_own_situation_5";"av_locus1_own_situation_6";"av_locus1_own_situation_7";"av_locus1_own_situation_8";"av_locus1_own_situation_9";"av_locus1_own_situation_10";"av_locus2_own_internal_1";"av_locus2_own_internal_2";"av_locus2_own_internal_3";"av_locus2_own_internal_4";"av_locus2_own_internal_5";"av_locus2_own_internal_6";"av_locus2_own_internal_7";"av_locus2_own_internal_8";"av_locus2_own_internal_9";"av_locus2_own_internal_10";"av_stability1_own_stabil_1";"av_stability1_own_stabil_2";"av_stability1_own_stabil_3";"av_stability1_own_stabil_4";"av_stability1_own_stabil_5";"av_stability1_own_stabil_6";"av_stability1_own_stabil_7";"av_stability1_own_stabil_8";"av_stability1_own_stabil_9";"av_stability1_own_stabil_10";"av_stability2_own_time_1";"av_stability2_own_time_2";"av_stability2_own_time_3";"av_stability2_own_time_4";"av_stability2_own_time_5";"av_stability2_own_time_6";"av_stability2_own_time_7";"av_stability2_own_time_8";"av_stability2_own_time_9";"av_stability2_own_time_10";"cause_other_1";"cause_other_2";"cause_other_3";"cause_other_4";"cause_other_5";"cause_other_6";"cause_other_7";"cause_other_8";"cause_other_9";"cause_other_10";"av_locus1_other_situation_1";"av_locus1_other_situation_2";"av_locus1_other_situation_3";"av_locus1_other_situation_4";"av_locus1_other_situation_5";"av_locus1_other_situation_6";"av_locus1_other_situation_7";"av_locus1_other_situation_8";"av_locus1_other_situation_9";"av_locus1_other_situation_10";"av_locus2_other_internal_1";"av_locus2_other_internal_2";"av_locus2_other_internal_3";"av_locus2_other_internal_4";"av_locus2_other_internal_5";"av_locus2_other_internal_6";"av_locus2_other_internal_7";"av_locus2_other_internal_8";"av_locus2_other_internal_9";"av_locus2_other_internal_10";"av_stability1_other_stabil_1";"av_stability1_other_stabil_2";"av_stability1_other_stabil_3";"av_stability1_other_stabil_4";"av_stability1_other_stabil_5";"av_stability1_other_stabil_6";"av_stability1_other_stabil_7";"av_stability1_other_stabil_8";"av_stability1_other_stabil_9";"av_stability1_other_stabil_10";"av_stability2_other_time_1";"av_stability2_other_time_2";"av_stability2_other_time_3";"av_stability2_other_time_4";"av_stability2_other_time_5";"av_stability2_other_time_6";"av_stability2_other_time_7";"av_stability2_other_time_8";"av_stability2_other_time_9";"av_stability2_other_time_10";"browser";"referer";"device_type";"participant_browser";"participant_browser_version";"participant_os";"participant_device";"participant_brand";"participant_model";"participant_isbot";"participant_continent";"participant_country";"participant_region";"participant_city";"participant_latitude";"participant_longitude";"quota";"quota_assignment";"page_history";"hflip";"vflip";"output_mode";"javascript";"flash";"session_id";"language";"cleaned";"ats";"datetime";"date_of_last_access";"date_of_first_mail";"rts6464880";"rts6464882";"rts6464883";"rts6464885";"rts6464888";"rts6465857";"rts6465888";"rts6465924";"rts6466281";"rts6466848";"rts6467037";"rts6467043";"rts6467078";"rts6473402";"rts6473507";"rts6473523";"rts6521622";"rts6521623";"rts6521677";"rts6521689";"rts6521690";"rts6529429";"rts6530938";"rts6535930";"tic"
"48";"0";"0";"31";"6464887";"-77";"5";"-66";"-66";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-66";"-66";"-77";"-66";"-66";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (iPhone; CPU iPhone OS 13_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.1 Mobile/15E148 Safari/604.1";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464887";"0";"1";"0";"-77";"-77";"409ee791c18445ed5798d5fc23a0e5a4";"1";"0";"1590416213";"2020-05-25 14:16:53";"2020-05-25 14:16:58";"0000-00-00 00:00:00";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-66"
"49";"0";"0";"31";"6464887";"-77";"56";"-66";"-66";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-66";"-66";"-77";"-66";"-66";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Linux; Android 10; ONEPLUS A6003) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464887";"0";"1";"0";"-77";"-77";"58cef846ec7bee8df63525bd59f6c459";"1";"0";"1590416223";"2020-05-25 14:17:03";"2020-05-25 14:17:59";"0000-00-00 00:00:00";"0";"0";"0";"56";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-66"
"50";"0";"0";"31";"6464875";"-77";"1248";"2";"1";"2";"1";"5eac56f1aaec6f298d2242d2";"1";"1";"2";"1";"1";"1";"1";"9";"7";"-77";"6";"5";"5";"9";"9";"10";"2";"Student";"20";"1";"-99";"The main questions were rather confusing and hard to answer without a lot more context, especially as there were no other team members in the game of cyberball. These two aspects of the study seemed ireelevant to each other and therefore quite confusing.";"7";"2";"-99";"They probably got into an argument previously.";"They have procrastinated.";"What they said was probably not very good in the context it was being given in.";"The Yellow group member probably didn't get on with the person they met.";"That Yellow group member is probably not a nice person.";"They were probably very qualified for the job.";"The Yellow group member looked nice.";"They worked hard within their company.";"The member most likely completed the project to a high standard so is being praised accordingly.";"Their partner is very fond of them.";"2";"1";"2";"2";"1";"1";"1";"1";"5";"2";"2";"1";"2";"2";"1";"1";"4";"1";"3";"2";"5";"5";"5";"4";"4";"2";"4";"5";"4";"4";"5";"5";"5";"3";"5";"2";"4";"2";"4";"3";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"1";"0";"0";"-77";"-77";"0d04a946b2c9bcc1fa4f2fdb2475679c";"1";"0";"1590416241";"2020-05-25 14:17:21";"2020-05-25 14:38:09";"0000-00-00 00:00:00";"181";"148";"98";"29";"50";"71";"299";"337";"1095";"996";"0";"0";"1135";"62";"1045";"379";"0";"1037";"1079";"1235";"1248";"0";"350";"1017";"71177e2f120db316d9d1a9f79ad8c9e9"
"51";"0";"0";"31";"6464875";"-77";"699";"1";"2";"2";"1";"5cba07940e801000139d940d";"6";"4";"4";"7";"7";"1";"2";"3";"-77";"4";"4";"7";"7";"3";"3";"28";"2";"studying";"18";"1";"-99";"-99";"6";"2";"-99";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"conflicts ";"lack of motivation";"poor wording";"conflicts in personality";"dislike to other member";"personality - determined";"kind";"good work";"hard work";"strong relationship ";"5";"2";"4";"4";"2";"4";"2";"1";"2";"1";"5";"2";"4";"4";"4";"2";"2";"1";"3";"1";"3";"4";"3";"4";"4";"2";"2";"1";"2";"1";"4";"4";"4";"5";"3";"2";"2";"1";"2";"3";"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Safari/605.1.15";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479078,6479079,6465888,6465924,6473522,6467023,6529429,6467037,6470606,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6521622,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"0";"1";"0";"-77";"-77";"e9032326e2e061262cffd93bf41fefdd";"1";"0";"1590416282";"2020-05-25 14:18:02";"2020-05-25 14:29:41";"0000-00-00 00:00:00";"69";"64";"60";"5";"28";"55";"227";"250";"665";"0";"276";"582";"671";"34";"622";"0";"602";"609";"644";"674";"699";"261";"0";"0";"1ad06f9d604b701b27aff330fc49fc25"
"52";"0";"0";"31";"6464875";"-77";"824";"1";"2";"2";"1";"59973db4fc37790001fa68df";"3";"4";"2";"5";"6";"1";"2";"8";"-77";"3";"5";"9";"9";"1";"1";"30";"2";"copywriter";"25";"1";"-99";"-99";"7";"2";"-99";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"A misunderstanding";"The company has expected too much and heaped work on because of previous high performance levels, without any regard to how the projects translate";"She's telling the truth - but it's not what people want to hear";"Their personalities don't match";"They don't want to get in the middle of personal conflict";"They're competent, efficient, and eloquent in their presentation of why they'd be the best at the job";"Glossy, glossy hair";"They're efficient and great at self-advocating";"They're hardworking and innovative";"Their partner has had a wake-up call that has made them reflect on how much they care for the group member";"4";"5";"5";"2";"3";"1";"1";"1";"1";"5";"4";"5";"5";"3";"4";"3";"3";"1";"1";"5";"5";"5";"5";"4";"5";"4";"4";"1";"1";"5";"5";"5";"5";"3";"4";"3";"4";"1";"1";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479078,6479079,6465888,6465924,6473522,6467023,6529429,6467037,6470606,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6521622,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"0";"0";"0";"-77";"-77";"d8714b7cca0fed100850d725c19e5e01";"1";"0";"1590416293";"2020-05-25 14:18:13";"2020-05-25 14:31:57";"0000-00-00 00:00:00";"120";"104";"66";"26";"42";"54";"230";"252";"778";"0";"287";"702";"808";"49";"747";"0";"725";"739";"766";"810";"824";"258";"0";"0";"7c1b650f58a4d39d73e2c9348d7d7e91"
"53";"0";"0";"31";"6464875";"-77";"750";"2";"1";"2";"1";"5def7e9b245a4660486379c1";"3";"4";"2";"4";"5";"1";"2";"7";"3";"-77";"3";"7";"8";"8";"6";"10";"1";"Student";"21";"1";"-99";"-99";"6";"2";"-99";"That person has their own problems";"There is too much work";"They made a mistake in their talk and everyone knew";"they were not compatible people";"They cannot help the person";"They had the skills and a bit of luck";"They are an attractive person";"They worked hard";"They worked hard on it, and it was succesful";"Both people realise it is good to treat each other better";"4";"4";"2";"2";"4";"2";"2";"1";"2";"3";"4";"4";"2";"4";"2";"2";"4";"1";"2";"3";"4";"4";"2";"2";"4";"4";"2";"2";"4";"4";"5";"5";"4";"4";"4";"4";"2";"3";"3";"3";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"0";"0";"0";"-77";"-77";"37f2fb260ec06b1a240725c9668333b5";"1";"0";"1590416327";"2020-05-25 14:18:47";"2020-05-25 14:31:17";"0000-00-00 00:00:00";"114";"103";"75";"15";"46";"64";"241";"258";"733";"654";"0";"0";"738";"50";"694";"274";"0";"687";"719";"741";"750";"0";"266";"676";"6dd810b2bb3d2324135151bedf093abc"
"54";"0";"0";"31";"6464875";"-77";"668";"2";"2";"2";"1";"5982ff7c127287000185f50a";"2";"2";"1";"1";"5";"3";"1";"7";"-77";"6";"2";"6";"6";"8";"8";"5";"1";"FInancial Controller";"38";"1";"-99";"-99";"7";"2";"-99";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Because thre selfish";"Preoccupation";"Due to being selfish the audience reacts infavourably";"Because they are very similar";"Selfishness";"Self centred ness";"Because they are very similar";"Good work";"Self centreness";"Unsure";"1";"3";"3";"2";"2";"3";"1";"5";"5";"3";"1";"3";"3";"2";"1";"3";"2";"4";"5";"3";"1";"3";"1";"2";"2";"3";"3";"4";"3";"3";"1";"3";"1";"2";"1";"3";"3";"4";"3";"3";"Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:76.0) Gecko/20100101 Firefox/76.0";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6467023,6529429,6467037,6470606,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6467043,6521622,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"1";"1";"0";"-77";"-77";"a009274f968eb17d284812def77fcd99";"1";"0";"1590416374";"2020-05-25 14:19:34";"2020-05-25 14:30:42";"0000-00-00 00:00:00";"94";"78";"50";"13";"23";"37";"201";"227";"645";"0";"256";"575";"654";"31";"611";"0";"589";"603";"627";"656";"668";"234";"0";"0";"1e884eb2e0e5c960145d8a4b3a11ae79"
"55";"0";"0";"31";"6464875";"-77";"966";"1";"1";"2";"1";"5ccafa367994fd00137eedde";"7";"8";"8";"7";"8";"2";"2";"8";"4";"-77";"3";"6";"7";"3";"3";"50";"2";"full time student, part time support worker";"20";"1";"-99";"no, very interesting study!";"7";"2";"-99";"Discrimination, different team/colour to the friend";"work overload";"Disagreement of an opinion, opposing fans";"Disagreement over something";"A choice of not wanting to perhaps too much effort for the member";"well-prepared";"Genuinely wants to make the person feel good";"Shown good work and talent consistently over time";"Hard-working";"Good stable long-term relationship, the trust is present between them.";"5";"2";"4";"4";"2";"1";"1";"1";"1";"4";"5";"1";"5";"2";"4";"1";"2";"1";"1";"2";"4";"4";"4";"4";"4";"1";"4";"1";"1";"4";"2";"4";"5";"2";"5";"1";"2";"1";"1";"5";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479078,6479079,6465888,6465888,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6464875";"0";"0";"0";"-77";"-77";"f721068899990ae861662f8a51a752e9";"1";"0";"1590416375";"2020-05-25 14:19:35";"2020-05-25 14:35:41";"0000-00-00 00:00:00";"89";"72";"35";"5";"16";"29";"216";"239";"900";"762";"0";"0";"925";"20";"851";"280";"0";"807";"873";"948";"966";"0";"261";"791";"e11e0893128a8914f5d1f36bb939cfd3"
"56";"0";"0";"31";"6465732";"-77";"24";"-66";"-66";"1";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-66";"-66";"-77";"-66";"-66";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.138 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6465732";"1";"1";"0";"-77";"-77";"921afe4e84651efa68243b3b272739d8";"1";"0";"1590416387";"2020-05-25 14:19:47";"2020-05-25 14:20:11";"0000-00-00 00:00:00";"0";"0";"0";"14";"23";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-66"
"57";"0";"0";"20";"0";"-77";"0";"-66";"-66";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-66";"-66";"-77";"-66";"-66";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G930F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.2 Chrome/75.0.3770.143 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"1";"0";"0";"-77";"-77";"03af285a4273938f1b0bbe3cf8d95406";"1";"0";"1590416424";"2020-05-25 14:20:24";"2020-05-25 14:20:24";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-66"
"58";"0";"0";"20";"0";"-77";"0";"-66";"-66";"-77";"-77";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-77";"-66";"-66";"-77";"-66";"-66";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G930F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/11.2 Chrome/75.0.3770.143 Mobile Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"0";"1";"0";"0";"-77";"-77";"ae2cbb0e5fbe137c067960a7e1507f1f";"1";"0";"1590416424";"2020-05-25 14:20:24";"2020-05-25 14:20:24";"0000-00-00 00:00:00";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"-66"
"59";"0";"0";"31";"6464875";"-77";"1859";"2";"1";"2";"1";"5ec93926ce905a051f5704f3";"2";"3";"1";"1";"3";"3";"3";"6";"3";"-77";"7";"5";"5";"8";"7";"10";"2";"Gemologist and Valuer";"56";"1";"-99";"Interesting exercise";"7";"2";"-99";"personal historic grievance";"Sickness prevents completion";"Controversial statements not agreed by audience";"Personality mismatch";"Too busy";"Best candidate on application";"Feeling happy and generous";"Promotion";"Hard, diligent work";"Sick";"1";"1";"4";"3";"2";"3";"1";"1";"1";"5";"5";"5";"4";"4";"4";"4";"5";"5";"5";"5";"4";"5";"4";"5";"4";"5";"5";"5";"3";"5";"4";"5";"3";"3";"4";"3";"3";"2";"3";"3";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-66";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"-77";"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/83.0.4103.61 Safari/537.36";"-99";"0";"0";"-99";"0";"0";"0";"0";"0";"0";"0";"-99";"-99";"-66";"-66";"0";"-66";"6464885,6464886,6464888,6465730,6473402,6473403,6465857,6464883,6464882,6464880,6479077,6479079,6479080,6465888,6465924,6473522,6530938,6473523,6467242,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6466848,6535930,6467023,6521623,6473507,6521677,6466281,6467078,6521689,6521690,6521690,6521690,6464875";"0";"0";"0";"-77";"-77";"9bdb22e8d3c9c37276c0f9f22ec5ce03";"1";"0";"1590416431";"2020-05-25 14:20:31";"2020-05-25 14:51:30";"0000-00-00 00:00:00";"231";"221";"171";"82";"103";"133";"494";"588";"1785";"1633";"0";"0";"1813";"116";"1711";"653";"0";"1686";"1752";"1840";"1858";"0";"605";"1674";"f8b77ae5876161979cf7bc7b9e78ebb2"
